id,name,meal_type,total_time_minutes,estimated_cost
472,Ragda Patties Recipe (Mumbai Style Ragda Pattice) Meal,dinner,40,
473,Dahi Papdi Chaat Meal,dinner,40,
474,Samosa Chaat Recipe Meal,dinner,40,
475,Aloo Chaat Recipe (Street Style) Meal,dinner,40,
476,Papdi Chaat Recipe (Delhi Style Papri Chaat) Meal,dinner,40,
477,Masala Papad Recipe Meal,dinner,40,
478,Corn Chaat Recipe | Sweet Corn Chaat Meal,dinner,40,
479,Sprouts Chaat Meal,dinner,40,
480,Fruit Chaat Recipe (Delhi Street Style) Meal,dinner,40,
481,Dahi Bhalla Recipe Meal,dinner,40,
482,Chawli Usal Meal,dinner,40,
483,Pav Recipe | Ladi Pav | Pav Bread Meal,dinner,40,
484,Spring Rolls | Crispy Veg Spring Roll Recipe Meal,dinner,40,
485,Schezwan Paneer Meal,dinner,40,
486,Eggless Mayonnaise Recipe | Veg Mayonnaise Meal,dinner,40,
487,Paneer Kathi Roll Recipe (Paneer Wrap) Meal,dinner,40,
488,Vegetable Au Gratin Recipe Meal,dinner,40,
489,Tawa Sandwich (Griddle Sandwich) Meal,dinner,40,
490,"Homemade Pizza Sauce Recipe (No Cans, No Preservatives) Meal",dinner,40,
491,Masala Pav Meal,dinner,40,
492,Onion Chutney Recipe (Tamil Nadu Style) Meal,dinner,40,
493,Idli Manchurian Meal,breakfast,40,
494,Idli Recipe & Idli Batter – Tips That Actually Work Meal,breakfast,40,
495,Tomato Rasam (Thakkali Rasam) Meal,dinner,40,
496,Thayir Vadai | Curd Vada Meal,dinner,40,
497,Mysore Bonda Recipe | Mysore Bajji Meal,dinner,40,
498,Punugulu Recipe (Punukulu) Meal,dinner,40,
499,Goli Baje | Mangalore Bajji | Mangalore Bonda Meal,dinner,40,
500,Chakli Recipe (Instant & Easy) Meal,dinner,40,
501,Butter Murukku | Butter Chakli Meal,dinner,40,
502,Mathri Recipe (Punjabi Mathiya or Mathari) Meal,dinner,40,
503,Namak Para Recipe | Namak Pare (Salty Diamond Cuts) Meal,dinner,40,
504,Brinjal Curry Recipe (Baingan Masala) Meal,dinner,40,
505,Sabudana Chivda Recipe | Sabudana Namkeen Recipe | Sabudana Snacks Meal,dinner,40,
506,Chivda Recipe | Poha Chivda | Namkeen Recipe Meal,breakfast,40,
507,Jhal Muri Recipe | Kolkata Style Jhalmuri Snack Meal,dinner,40,
508,Baby Corn Sabji Meal,dinner,40,
509,Cheese Balls Recipe (Indian Style) Meal,dinner,40,
